asteroid_number,H,da_AU,D_deg,f_degy,e_p,g_arcsec_y,sin_i_p,s_arcsec_y,L,My
310104,13.46,0.1012,21.84,2.314,0.0171,353.22,0.2849,-15.49,4,5
310105,14.1,0.1524,33.91,2.246,0.0363,428.49,0.0523,-35.63,4,5
310106,13.4,0.0921,19.21,2.395,0.0782,376.0,0.117,-18.94,4,5
310107,12.94,0.039,8.19,2.381,0.0827,330.42,0.295,-8.4,4,5
310110,12.94,0.0145,2.99,2.426,0.0319,350.67,0.1791,-7.02,4,5
310112,13.29,0.067,14.01,2.389,0.0516,354.26,0.2174,-11.56,4,5
310115,13.47,0.0134,2.74,2.454,0.076,355.23,0.1064,-9.47,4,5
310382,13.4,0.0271,5.71,2.371,0.0499,327.59,0.3132,-5.7,4,5
310397,13.11,0.0108,2.24,2.361,0.1007,348.62,0.1492,-10.52,4,5
310432,12.93,0.1078,24.06,2.238,0.0408,208.79,0.4011,-14.31,4,50
310433,12.81,0.0983,22.55,2.177,0.0477,271.3,0.5078,-9.09,4,5
310439,13.41,0.0911,19.11,2.381,0.0267,377.74,0.1359,-16.05,4,5
310641,13.21,0.0443,9.2,2.406,0.0468,349.43,0.2148,-8.76,4,5
310645,13.89,0.1191,25.58,2.325,0.0314,28.55,0.1567,-22.47,4,50
310655,14.02,0.051,10.37,2.455,0.1012,361.72,0.0601,-14.2,4,5
310666,13.15,0.1019,21.95,2.317,0.0438,353.55,0.2796,-16.5,4,5
310668,13.45,0.0642,13.3,2.41,0.0397,363.87,0.1518,-11.67,4,5
310670,13.14,0.1293,28.77,2.242,0.0632,340.47,0.3118,-23.8,4,50
310867,14.07,0.0206,4.17,2.464,0.0905,357.02,0.0645,-10.91,4,5
310870,13.65,0.0332,6.76,2.455,0.1153,349.79,0.1425,-12.86,4,5
310871,13.15,0.1003,21.36,2.345,0.0699,359.65,0.2293,-18.32,4,50
310872,12.73,0.0214,4.74,2.258,0.043,180.72,0.4881,-0.43,4,50
311592,13.15,0.1058,23.12,2.286,0.0498,285.75,0.3289,-16.16,4,50
311615,12.86,0.0998,21.3,2.341,0.0506,296.82,0.2308,-17.17,4,50
311997,13.54,0.097,20.4,2.375,0.0297,381.84,0.1261,-17.48,4,5
312001,13.19,0.0485,10.16,2.382,0.0984,331.3,0.2901,-10.4,4,5
312023,13.8,0.1508,33.48,2.249,0.032,53.0,0.0657,-34.17,4,50
312457,13.04,0.0855,18.18,2.348,0.0529,350.21,0.2667,-13.74,4,5
312458,14.05,0.0689,14.25,2.416,0.0076,343.4,0.0812,-12.37,4,5
312459,12.77,0.0439,9.44,2.325,0.0847,308.34,0.3873,-6.69,4,5
312461,13.64,0.0899,18.82,2.387,0.0452,376.79,0.1303,-16.5,4,5
312462,14.15,0.095,19.93,2.38,0.0293,381.84,0.1168,-17.12,4,5
312463,13.1,0.0339,6.96,2.433,0.0668,353.42,0.1594,-9.49,4,5
